,District,Age,Sex,Urban,Educated,Income
119,7,85,M,True,True,75902
120,8,55,M,True,True,21733
121,2,27,M,True,True,33238
122,1,56,M,True,True,9279
123,2,63,M,True,True,90711
124,1,38,F,False,False,41658
125,7,25,M,True,False,61200
126,0,37,M,True,True,186158
127,0,51,F,True,True,214537
128,4,25,F,True,False,16875
129,1,32,F,False,True,45168
130,3,52,F,True,True,48695
131,1,53,M,True,True,15319
132,1,26,F,True,True,13585
133,1,42,F,True,True,31110
134,0,30,M,True,True,94620
135,8,55,F,False,False,9984
136,0,69,F,True,True,112498
137,4,26,M,False,False,30306
138,2,46,M,False,True,57664
139,3,57,M,False,False,3033
140,1,25,M,True,True,97394
141,1,63,F,True,True,39131
142,1,33,F,True,False,87188
143,0,19,M,False,False,71512
144,1,30,M,True,True,29219
145,8,81,F,False,True,10463
146,1,74,F,False,False,15811
147,8,48,M,False,True,30013
148,9,69,F,True,True,72000
149,2,63,M,False,True,18041
150,1,52,M,False,False,75335
151,1,67,F,True,True,57816
152,0,76,F,True,False,100992
153,0,74,M,True,True,34288
154,2,46,F,True,True,165497
155,1,65,F,True,True,66825
156,8,34,F,False,False,40898
157,0,26,M,True,True,195655
158,4,25,M,False,False,41354
159,6,34,F,True,False,3367
160,2,43,F,False,True,94167
161,7,50,M,True,True,75853
162,8,45,M,False,False,36096
163,0,24,F,True,True,53150
164,0,33,F,True,True,121610
165,3,64,F,True,True,77264
166,8,40,M,False,True,24676
167,1,61,M,True,False,28125
168,5,60,M,False,True,28420
169,0,65,F,True,True,75450
170,4,74,M,False,True,102975
171,1,64,F,True,True,28807
172,0,21,F,True,True,72950
173,8,32,M,False,False,15316
174,0,60,F,True,True,43752
175,2,65,M,False,False,37871
176,1,38,M,False,False,62495
177,0,21,M,False,True,24272
178,1,61,M,True,True,9678
179,1,31,F,True,True,36413
180,0,45,M,True,True,63012
181,6,57,M,False,True,22191
182,0,24,F,False,True,30774
183,9,28,M,True,True,61322
184,5,74,F,False,False,5885
185,5,33,M,False,False,21115
186,7,22,M,True,False,55837
187,6,28,F,False,False,49450
188,1,27,M,False,False,62728
189,7,62,F,True,False,50962
190,6,24,M,False,False,13715
191,4,40,F,True,False,15333
192,4,71,F,False,False,33660
193,1,27,F,True,True,107823
194,8,62,M,True,True,43360
195,0,69,F,True,True,32189
196,0,21,M,True,False,52562
197,0,40,F,False,False,6931
198,6,59,F,True,True,18149
199,1,25,F,True,True,69852
200,0,31,F,False,False,116709
201,0,61,F,True,True,189035
202,0,69,M,True,True,113175
203,8,45,M,True,True,21333
204,1,65,F,True,True,53185
205,6,28,M,False,False,16920
206,1,60,M,True,True,111251
207,5,74,F,False,True,17326
208,0,72,M,True,True,71137
209,2,62,F,False,False,14359
210,7,18,M,True,True,41634
211,2,24,F,False,False,87467
212,8,34,F,False,False,10480
213,5,56,M,False,True,1463
214,9,42,M,True,True,10977
215,4,44,F,False,False,44047
216,0,56,F,True,True,6126
217,1,26,M,False,True,99726
218,0,56,M,True,True,129774
219,8,32,M,False,True,16062
220,1,31,F,False,False,84971
221,1,58,M,True,True,7950
222,1,67,F,False,False,99446
223,8,21,M,False,True,11462
224,9,84,M,True,True,73232
225,0,60,M,True,True,51942
226,9,25,M,False,False,21470
227,0,38,F,False,False,45577
228,0,20,F,True,True,32954
229,2,24,F,True,True,121275
230,1,50,F,True,True,25010
231,9,42,F,True,True,26767
232,1,35,F,True,True,36171
233,0,26,F,True,True,185724
234,2,52,F,True,True,3428
235,1,45,F,False,False,28695
236,8,40,M,True,False,15648
237,5,42,F,False,True,16579
238,3,26,M,True,False,70462
239,7,58,F,True,False,9906
240,2,75,F,False,True,42018
241,0,18,F,True,True,16274
242,1,44,F,True,True,71738
243,1,63,M,True,True,37386
244,7,37,M,True,False,53850
245,2,21,M,True,True,119354
246,0,43,F,True,True,170539
247,6,28,M,True,True,34539
248,0,18,M,True,True,24041
249,3,31,M,True,True,99028
250,1,87,M,True,True,56139
251,0,41,M,True,True,103589
252,8,43,M,False,True,25477
253,8,27,F,True,False,31980
254,0,57,M,False,False,11429
255,6,65,F,False,False,28151
256,0,61,F,False,True,7763
257,0,60,F,True,True,15133
258,8,42,F,False,False,34474
259,8,65,F,True,True,21909
260,8,41,M,False,True,18762
261,1,46,M,True,True,46789
262,6,26,F,True,True,5284
263,1,49,F,True,True,70747
264,0,20,M,False,True,36792
265,4,39,F,False,True,41587
266,5,74,F,False,False,15923
267,8,24,M,False,True,8714
268,9,42,M,True,True,67208
269,8,20,F,False,False,8562
270,7,31,F,False,False,23918
271,5,79,F,False,True,48758
272,4,34,F,False,False,35315
273,7,33,M,True,True,48784
274,0,44,M,True,True,63524
275,6,40,F,False,False,41424
276,7,39,M,True,True,84175
277,2,28,F,False,False,27289
278,8,59,F,False,True,13128
279,0,62,F,True,True,83128
280,7,33,M,False,True,90296
281,9,19,F,True,False,77092
282,7,69,M,True,True,11254
283,0,65,F,True,False,99905
284,6,31,M,True,False,20867
285,9,30,M,False,False,47409
286,8,29,M,False,False,18339
287,9,89,M,True,True,27043
288,5,49,F,False,False,49281
289,1,52,F,False,True,10657
290,4,66,M,False,False,9734
291,0,59,F,True,True,49140
292,1,66,F,False,False,12310
293,7,63,F,True,True,65152
294,8,31,F,False,True,29134
295,8,69,M,False,True,50069
296,8,51,F,False,True,5548
297,5,31,M,False,False,9603
298,5,20,M,False,True,31430
299,0,28,F,True,False,72355
300,8,53,M,False,True,6902
301,6,31,F,False,False,8388
302,4,29,M,True,True,62946
303,0,60,M,True,True,169536
304,4,75,F,False,False,55288
305,1,38,F,False,False,60678
306,1,90,F,True,False,56063
307,2,26,M,False,False,4596
308,5,67,F,False,False,28897
309,0,60,F,True,False,7975
310,6,88,F,True,True,15580
311,1,62,F,True,False,59625
312,0,53,M,False,False,33859
313,1,28,F,True,True,23033
314,1,71,M,True,True,60537
315,9,25,F,True,True,31751
316,1,55,M,True,True,79503
317,1,29,M,True,True,69192
318,2,19,M,True,True,74134
319,9,34,M,True,False,58242
320,3,60,M,False,False,34347
321,3,40,F,True,True,32239
322,1,66,M,False,True,9373
323,0,46,F,True,True,125666
324,1,59,M,False,False,26011
325,7,48,M,True,True,73169
326,8,21,F,True,True,6410
327,9,22,M,True,False,70035
328,2,63,F,False,False,22164
329,0,78,F,True,True,98275
330,1,39,M,True,False,91750
331,8,83,F,False,False,22570
332,1,61,F,True,True,165550
333,1,30,M,True,True,28229
334,8,53,F,False,False,33836
335,6,31,M,False,False,23969
336,2,68,F,False,False,75401
337,0,39,F,True,True,28012
338,5,63,M,False,False,23402
339,1,26,F,False,False,91132
340,2,66,M,False,True,19194
341,0,29,M,False,True,54542
342,0,77,F,False,False,45764
343,0,33,F,True,True,36532
344,4,22,M,False,False,22283
345,9,57,F,True,False,74816
346,3,51,F,False,False,15328
347,0,68,M,True,True,66713
348,6,41,F,False,False,43662
349,9,95,F,True,True,55705
350,3,54,M,True,True,439
351,0,33,M,False,True,59845
352,5,78,F,False,False,26520
353,7,61,M,False,True,15895
354,4,55,F,False,False,25484
355,1,40,M,False,True,15764
356,1,22,M,True,True,5752
357,6,57,F,False,False,1855
358,0,49,M,True,True,101673
359,0,66,M,True,True,39640
360,8,29,F,False,False,26826
361,4,30,F,False,True,29896
362,8,41,F,True,True,6389
363,8,32,F,False,False,14159
364,1,73,F,True,False,62438
365,1,26,F,False,True,86978
366,2,28,F,True,True,24058
367,0,43,M,True,True,34851
368,7,29,F,True,False,53700
369,2,60,F,True,False,6875
370,2,32,M,False,True,41908
371,1,33,M,True,True,178360
372,0,39,M,True,True,191048
373,6,29,F,False,False,20554
374,0,66,F,True,True,126233
375,5,40,F,False,False,32084
376,0,49,F,True,True,37339
377,0,70,M,True,True,91932
378,3,21,M,False,False,53780
379,3,59,F,False,True,31989
380,1,35,M,True,False,93125
381,8,31,F,True,True,16393
382,1,79,F,True,True,18706
383,2,34,F,True,False,71390
384,4,34,F,False,False,44682
385,0,36,M,True,True,143960
386,3,20,F,True,True,27086
387,8,22,F,False,False,4019
388,0,33,F,True,True,89454
389,6,63,F,True,True,96031
390,1,42,M,False,False,123118
391,5,86,F,False,False,17812
392,2,35,M,False,True,40792
393,7,43,F,True,True,46263
394,1,25,F,True,True,50019
395,9,31,M,False,True,28422
396,0,26,F,True,True,76636
397,7,74,F,True,True,60430
398,8,61,M,True,True,44237
399,1,62,F,True,True,25172
400,4,78,M,False,False,24358
401,9,21,M,False,False,26968
402,3,31,F,False,False,6507
403,9,21,F,True,True,98898
404,9,18,F,False,True,48084
405,0,77,M,False,False,26798
406,6,31,F,True,True,46896
407,8,61,F,False,True,19889
408,1,42,F,False,False,32498
409,4,33,M,True,True,49126
410,3,64,F,True,True,63484
411,1,49,M,True,True,184976
412,0,22,M,True,True,143625
413,4,52,F,False,False,10425
414,7,64,F,False,False,1992
415,1,25,M,False,False,65504
416,0,47,F,False,False,15881
417,7,56,M,True,True,2100
418,8,31,F,True,False,21559
419,0,43,F,True,True,41577
420,7,87,F,False,False,25877
421,7,35,F,True,False,22162
422,0,67,M,True,True,77387
423,8,40,M,False,False,22318
424,3,45,F,False,True,20563
425,3,50,M,True,False,18150
426,8,51,F,False,True,38849
427,9,21,M,True,True,115397
428,2,45,M,False,True,15593
429,0,61,M,True,True,82141
430,0,50,F,True,True,60573
431,1,32,F,True,True,14998
432,0,70,F,True,False,68585
433,3,26,F,False,False,17552
434,5,36,M,False,False,8687
435,0,61,M,False,True,63038
436,4,19,F,False,False,18421
437,6,57,M,True,True,41325
438,0,61,F,False,False,54344
439,4,24,F,False,False,40886
440,6,74,M,False,True,19808
441,4,37,M,False,True,8904
442,4,46,F,False,True,59971
443,3,58,M,False,False,6862
444,1,34,M,True,True,90706
445,7,31,M,True,True,4382
446,8,64,M,False,False,54663
447,6,19,M,False,True,13891
448,0,51,M,True,True,80877
449,7,51,F,True,True,750
450,1,42,F,False,False,21988
451,4,33,F,True,False,31083
452,3,39,F,False,True,49384
453,0,59,F,True,True,34885
454,0,60,F,True,True,150944
455,9,59,F,True,False,15180
456,1,27,M,True,True,208523
457,2,42,M,False,False,43491
458,0,28,F,True,True,209921
459,0,30,F,True,True,124618
460,7,23,F,False,False,14730
461,0,77,M,True,False,39730
462,3,43,F,True,True,31036
463,2,67,F,False,True,13936
464,3,31,F,False,False,35190
465,9,57,M,False,False,11224
466,8,38,F,False,True,52286
467,0,26,M,False,True,89791
468,7,66,F,True,False,3900
469,0,25,F,True,True,86946
470,7,31,M,True,True,64387
471,6,63,M,False,False,58003
472,9,63,F,False,False,22041
473,8,18,M,True,True,63949
474,0,65,M,True,True,30897
475,0,62,M,True,True,188863
476,0,41,M,True,True,139494
477,6,53,F,True,False,16333
478,7,29,F,False,False,27938
479,7,79,M,False,True,33696
480,8,23,F,True,False,55965
481,7,56,F,True,True,14247
482,0,40,F,True,True,124365
483,0,71,F,True,False,24795
484,2,53,M,False,True,3412
485,2,26,M,False,False,65894
486,6,45,F,True,True,5852
487,0,61,F,True,True,13215
488,6,30,F,True,False,34733
489,3,72,F,False,True,40779
490,2,24,M,True,False,107195
491,1,19,M,True,True,140242
492,4,62,F,False,True,29428
493,1,46,F,True,True,31249
494,2,60,F,False,False,18804
495,6,51,F,False,False,5442
496,5,25,M,False,False,25425
497,8,28,M,True,True,40910
498,7,33,M,True,True,9595
499,0,38,M,True,True,25598
500,1,65,M,True,False,121187
501,7,67,F,True,True,24674
502,1,19,M,True,True,51420
503,8,61,F,False,True,36643
504,1,60,M,False,False,43305
505,0,72,F,True,True,228692
506,3,25,F,False,True,19346
507,0,45,F,True,True,28028
508,3,59,M,False,False,39773
509,0,30,F,True,True,49650
510,7,34,M,True,False,15562
511,1,22,F,False,False,15020
512,1,59,M,True,True,113407
513,9,29,M,True,False,16917
514,8,39,M,True,True,12255
515,0,42,M,False,True,105401
516,1,59,M,True,True,9971
517,0,25,M,False,True,48508
518,8,30,F,False,True,26608
519,3,58,F,True,True,14212
520,8,53,M,True,True,26416
521,6,57,M,True,False,596
522,0,59,M,True,True,43930
523,1,31,F,False,True,12911
524,2,78,F,True,True,29418
525,1,37,F,True,True,160314
526,7,68,M,True,False,61538
527,6,20,M,False,False,16629
528,1,18,F,False,True,131082
529,8,69,M,False,False,41421
530,9,31,M,True,False,53553
531,5,81,M,False,True,14938
532,3,61,M,False,False,11030
533,7,21,F,False,False,18308
534,9,48,M,False,False,18240
535,6,40,M,False,False,32417
536,2,56,F,False,True,66022
537,2,57,F,False,False,3642
538,1,42,F,False,False,17606
539,0,77,M,True,True,168997
540,0,55,M,True,True,45418
541,5,71,F,False,False,6711
542,8,24,M,False,False,5835
543,6,26,F,False,False,15764
544,9,60,M,True,False,65975
545,9,20,F,True,False,29532
546,0,76,M,False,False,6038
547,7,71,M,False,True,24669
548,8,30,M,False,False,18355
549,3,26,M,False,True,26295
550,1,25,F,True,True,60717
551,0,89,F,True,True,220519
552,0,70,F,True,True,6140
553,1,45,M,False,False,37448
554,0,78,M,True,True,125590
555,1,68,F,True,True,51734
556,9,46,F,True,True,22868
557,2,23,M,True,True,35536
558,2,52,M,True,False,14164
559,6,74,F,True,False,39233
560,0,50,M,True,True,50232
561,5,26,M,False,False,4582
562,3,33,F,False,False,49898
563,1,50,F,True,True,37234
564,9,62,M,False,False,39819
565,8,65,M,False,True,13015
566,6,87,F,False,True,74005
567,1,37,M,False,False,5836
568,0,72,F,False,True,25181
569,1,22,M,True,True,54235
570,9,43,M,True,False,49348
571,0,61,F,True,True,56420
572,0,30,M,True,True,97427
573,9,31,M,False,False,39017
574,0,63,F,True,False,78300
575,3,41,M,False,True,4228
576,0,62,M,True,True,49094
577,9,61,F,True,False,19092
578,1,35,F,False,False,5649
579,2,27,M,False,False,27905
580,1,26,F,True,True,42866
581,8,30,F,False,False,15289
582,9,30,M,False,False,11865
583,6,50,F,False,False,28050
584,8,63,M,True,False,39360
585,0,66,F,False,True,42577
586,9,66,M,True,False,40117
587,9,51,F,True,False,56105
588,1,22,M,False,True,13434
589,1,26,F,True,False,82875
590,1,54,M,True,True,44949
591,8,58,M,False,False,9627
592,8,69,F,False,True,47002
593,6,26,M,True,False,26667
594,0,34,F,False,True,181581
595,1,49,M,True,False,34750
596,1,76,F,True,True,64685
597,8,83,F,False,False,16236
598,0,63,M,True,True,39698
599,8,22,M,False,False,5252
600,7,69,M,True,True,95232
601,2,37,F,False,False,65335
602,7,84,M,True,False,10575
603,0,71,F,True,False,47922
604,0,58,M,True,True,9968
605,1,48,M,False,False,12967
606,4,33,F,False,False,24957
607,6,30,M,False,False,34187
608,0,41,F,True,True,65305
609,3,63,F,False,False,25979
610,1,44,M,False,False,69685
611,1,42,F,True,True,141759
612,2,35,M,False,True,57163
613,5,49,M,False,False,26040
614,1,56,F,False,False,101856
615,8,58,F,False,False,6056
616,0,38,M,True,True,144353
617,7,47,F,True,False,42150
618,0,71,M,True,True,40376
619,9,24,F,True,True,51622
620,0,40,F,True,True,121570
621,2,50,F,True,False,13255
622,8,27,M,False,True,29058
623,0,39,M,True,True,121834
624,0,39,M,False,False,52222
625,3,43,M,True,True,58453
626,7,79,M,True,True,99871
627,8,53,F,False,False,8831
628,6,36,F,False,False,24315
629,9,44,F,True,True,17905
630,0,53,M,True,True,48172
631,1,78,F,True,False,30750
632,9,47,F,True,False,55873
633,7,29,M,True,False,32100
634,9,60,M,False,True,82267
635,1,50,F,False,False,102842
636,8,84,F,False,False,36357
637,1,54,M,True,True,16568
638,2,53,F,True,True,1351
639,5,27,F,False,True,23007
640,1,90,M,True,True,48604
641,6,58,M,False,True,6500
642,7,48,M,True,False,40425
643,2,28,M,False,False,77505
644,1,44,M,True,True,129221
645,0,66,M,False,True,149131
646,9,42,F,True,True,43815
647,6,68,F,False,False,17150
648,3,45,F,False,False,48930
649,1,44,M,True,True,51953
650,3,25,F,False,False,21373
651,1,56,M,True,True,11409
652,4,77,M,False,False,46419
653,5,91,M,False,False,14472
654,8,74,F,True,True,21665
655,3,48,M,False,True,73498
656,1,73,F,True,True,79219
657,0,71,M,True,True,181860
658,1,48,F,True,False,112188
659,3,68,F,False,True,7369
660,0,54,F,False,False,19401
661,6,40,F,False,False,35699
662,2,63,F,True,False,82500
663,5,76,F,False,False,11029
664,6,49,M,False,False,42124
665,7,26,M,True,True,57678
666,8,47,M,False,False,6229
667,8,53,F,False,False,13858
668,6,66,M,False,False,32756
669,2,64,M,False,False,44631
670,3,35,F,False,True,34255
671,8,74,M,True,True,4580
672,3,57,M,False,False,1847
673,0,27,M,True,False,53868
674,0,34,F,False,True,16206
675,9,24,M,True,True,40627
676,1,75,F,False,True,32716
677,6,31,F,False,False,2668
678,1,77,F,False,True,174234
679,0,66,F,True,True,77802
680,6,23,F,True,True,30195
681,0,65,F,True,True,44905
682,6,49,M,False,False,18933
683,3,45,F,True,False,64200
684,7,19,M,True,True,83586
685,9,19,F,True,True,131558
686,0,31,F,True,True,197262
687,0,67,M,True,False,110998
688,0,52,F,False,True,8682
689,2,42,M,False,True,14704
690,5,78,M,False,True,14442
691,7,43,M,False,True,102627
692,8,65,F,False,False,12162
693,1,28,M,True,True,99685
694,7,67,M,True,True,10148
695,1,22,M,False,False,56767
696,3,56,M,False,False,993
697,0,51,F,True,True,2720
698,1,54,F,True,True,28957
699,1,55,F,True,True,134457
700,0,77,F,True,True,117040
701,0,26,M,True,True,198706
702,2,34,F,True,True,33927
703,0,39,F,True,True,142305
704,2,35,F,False,False,55277
705,2,22,F,True,True,21252
706,0,72,F,True,True,160812
707,0,78,M,True,True,203888
708,1,56,F,True,False,17491
709,5,69,F,False,True,18237
710,0,32,M,True,True,144640
711,5,26,M,False,False,15009
712,7,44,F,True,True,42306
713,7,61,M,True,True,11261
714,8,67,M,False,False,65476
715,3,39,F,False,False,2907
716,0,41,M,True,True,56625
717,4,42,F,False,False,9482
718,0,63,F,True,True,65669
719,0,54,F,True,True,153877
720,4,37,M,False,True,43446
721,8,69,M,True,True,29537
722,8,85,M,False,False,21013
723,5,38,F,False,False,50958
724,4,37,F,True,True,24016
725,0,68,F,True,True,94039
726,3,54,F,True,False,56973
727,9,55,F,True,True,21567
728,6,34,F,False,True,33959
729,1,55,M,True,True,5736
730,3,70,F,True,False,61538
731,9,25,M,True,True,52889
732,0,54,F,True,True,131913
733,8,72,M,False,True,14812
734,1,62,M,True,False,92188
735,1,61,F,True,True,106892
736,3,63,M,True,False,58762
737,4,60,M,True,False,29250
738,6,35,F,False,False,21465
739,7,31,F,False,True,38717
740,2,55,F,True,False,4904
741,1,53,M,True,True,50606
742,8,18,M,False,False,15300
743,0,52,F,True,False,4644
744,8,28,F,False,True,9197
745,2,32,M,True,True,64100
746,2,26,M,True,True,76460
747,1,29,M,False,True,38136
748,4,56,F,False,False,19798
749,6,25,F,True,False,15033
750,6,64,M,False,True,3102
751,0,43,M,True,True,11256
752,0,41,F,True,True,160101
753,6,76,F,False,False,13167
754,5,29,F,True,True,12798
755,6,29,M,True,False,24000
756,4,43,M,False,False,7285
757,0,19,M,True,True,143079
758,0,48,F,True,True,214282
759,8,47,M,False,False,46871
760,0,49,M,True,True,32928
761,0,72,F,True,False,69818
762,7,18,F,True,False,30750
763,2,89,F,False,False,3956
764,1,51,F,False,False,5257
765,1,57,F,True,True,43881
766,7,25,F,True,False,32362
767,2,31,F,False,False,87352
768,1,69,F,True,True,60297
769,1,63,M,False,True,32019
770,6,67,M,False,False,22043
771,1,19,M,True,False,36875
772,9,62,F,False,False,2878
773,8,62,F,False,True,22776
774,0,39,M,True,True,32342
775,8,54,M,False,False,3166
776,6,35,F,False,False,25415
777,1,31,M,True,True,124769
778,8,35,F,True,True,33944
779,8,59,M,False,False,2905
780,3,41,F,True,False,10200
781,2,33,M,True,True,122217
782,8,32,M,False,False,29931
783,5,50,F,False,False,28811
784,3,32,M,True,False,40650
785,8,33,M,False,True,62191
786,1,20,M,True,True,35662
787,8,64,M,False,True,7091
788,8,68,M,False,True,62338
789,4,43,F,False,False,11741
790,3,40,M,False,True,21528
791,0,72,M,True,True,114514
792,4,38,F,False,False,10470
793,7,33,F,True,False,27975
794,8,26,F,False,False,11410
795,1,41,F,True,True,137503
796,6,70,F,True,False,6200
797,3,38,F,False,True,2899
798,0,29,F,True,True,38686
799,4,19,M,False,False,9056
800,9,38,F,True,False,57565
801,1,27,M,False,False,21917
802,7,37,M,False,True,9272
803,5,43,F,False,False,34641
804,4,34,F,True,False,78250
805,1,27,F,False,True,19006
806,0,92,M,True,False,80475
807,9,42,M,True,False,32818
808,3,18,F,False,False,9314
809,8,26,F,False,False,20436
810,0,67,F,True,False,83738
811,8,35,F,False,False,20101
812,2,84,F,False,True,16232
813,0,23,F,True,True,34382
814,5,75,F,False,True,4398
815,1,31,F,True,True,220130
816,7,67,F,True,True,49016
817,8,31,F,False,True,37644
818,9,42,M,False,False,70029
819,8,32,M,False,False,12115
820,8,53,F,False,True,2831
821,4,25,F,False,False,18679
822,5,60,F,False,False,21535
823,1,50,F,True,False,39562
824,7,56,F,False,False,9272
825,3,65,M,False,False,48780
826,6,48,M,False,True,6496
827,0,22,F,True,True,43706
828,6,32,F,False,False,3879
829,0,62,M,True,True,16558
830,1,49,M,True,False,20813
831,9,30,M,False,False,68675
832,2,71,F,True,False,74360
833,9,31,M,False,False,6639
834,4,48,M,True,False,14792
835,0,85,F,True,True,41163
836,3,22,M,True,False,33038
837,0,52,M,False,False,24292
838,2,48,F,True,True,143124
839,0,64,F,False,False,11853
840,3,32,M,True,True,98876
841,0,76,F,True,True,153175
842,8,30,F,False,True,15495
843,0,48,F,True,True,218431
844,1,18,F,True,True,193846
845,6,57,F,True,True,16285
846,7,28,M,True,True,61052
847,6,26,M,False,False,49934
848,1,46,F,False,False,79614
849,1,27,M,True,True,82923
850,0,72,M,True,False,70108
851,0,49,M,True,True,66610
852,1,45,F,False,False,19722
853,1,26,F,False,False,98868
854,2,20,M,True,True,102478
855,2,79,F,True,False,80245
856,3,58,M,False,False,14984
857,6,45,M,False,False,26395
858,8,55,M,False,True,20574
859,4,71,M,False,True,4160
860,9,81,F,True,True,62216
861,8,28,F,True,True,12740
862,7,41,M,True,True,52458
863,0,42,F,True,True,95003
864,4,59,F,False,False,18916
865,0,19,F,True,True,189690
866,0,39,M,True,True,20280
867,1,38,F,True,True,5419
868,3,32,F,False,False,23196
869,0,66,F,True,True,10425
870,0,33,M,False,False,13638
871,0,31,F,True,True,103082
872,0,94,F,True,True,168647
873,1,52,F,True,False,22943
874,1,74,F,False,False,76719
875,8,61,M,True,True,19845
876,2,19,M,False,True,61042
877,1,47,M,True,True,9646
878,6,51,M,True,True,10736
879,1,65,M,True,True,49446
880,1,88,M,False,False,6668
881,2,71,M,False,True,20174
882,8,18,F,False,False,19450
883,3,74,M,False,True,18782
884,5,61,F,False,False,15719
885,9,50,F,False,False,51104
886,6,58,M,False,False,3880
887,0,27,F,True,True,70667
888,0,19,F,True,True,78836
889,1,52,M,False,False,3811
890,0,55,F,True,True,128679
891,2,68,M,False,True,111863
892,3,71,M,False,False,15507
893,1,25,F,False,False,16557
894,0,28,M,True,True,33613
895,1,57,F,True,False,53661
896,3,49,F,False,False,6582
897,2,63,F,False,True,30622
898,6,28,F,True,False,49533
899,9,24,M,True,False,89562
900,3,22,F,False,False,40704
901,8,46,M,False,True,71580
902,0,58,F,True,True,141559
903,0,32,M,True,True,22169
904,1,51,M,True,True,15404
905,6,54,F,True,True,38366
906,2,36,M,False,False,19193
907,0,61,M,True,True,177792
908,1,39,M,False,False,66082
909,6,72,F,False,False,11041
910,1,50,M,False,True,96550
911,4,20,F,True,False,60625
912,0,58,F,False,True,697
913,7,34,F,True,False,39712
914,8,34,M,False,True,37690
915,9,26,M,True,True,110951
916,2,61,F,False,True,21620
917,0,53,M,False,False,56440
918,8,74,M,True,True,12332
919,1,77,F,False,False,8879
920,8,48,M,False,False,21242
921,1,77,F,True,True,25004
922,9,41,M,True,False,57613
923,0,61,F,True,False,96715
924,1,79,M,False,False,30409
925,2,37,F,False,False,59218
926,0,22,F,True,True,215494
927,0,29,M,False,False,17938
928,8,34,F,True,True,73655
929,2,61,M,True,False,96855
